source_strategy,source_category_id,source_category_name,source_category_path,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Lidded Storage Bins,,,,B0GK8P7BNM,B0F9YHX7NG,"Storage Bins with Lids 6 Pack Clear Storage Containers, 7 Quart Stackable Plastic Containers with Secure Black Buckle Latch, Durable Storage Box Organizer for Pantry, Closet, Office & Classroom","['Home & Kitchen', 'home-garden']",US,26.49,7.42,2.12,9.08,0.15,2786.0,45.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GK8P7BNM; parent B0F9YHX7NG; brand EOENVIVS,https://www.amazon.com/dp/B0GK8P7BNM,57.7,Watch or collect more data,3.9,0.1471,10855.65,87.3,59.3,20.0,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GK8P7BNM,2026-08-31 08:10:41,2026-08-31 08:13:08,3,66.4,57.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Magazine & Newspaper Baskets,,,,B09QLLLBJ3,B0FGYV777Q,Household Essentials Natural Woven Wicker Storage Basket with Handles,"['Home & Kitchen', 'home-garden']",US,19.99,5.6,1.6,3.6,0.15,693.0,33.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,50.0,20.0,42.5,C,"observed:sales,reviews,rating; estimated:price,fba_fee,search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B09QLLLBJ3; parent B0FGYV777Q; brand Household Essentials,https://www.amazon.com/dp/B09QLLLBJ3,57.7,Watch or collect more data,6.19,0.3097,4290.71,87.3,59.3,19.7,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; evidence confidence below supplier-validation threshold,,,asin:B09QLLLBJ3,2026-08-31 08:10:41,2026-08-31 21:19:57,4,66.4,57.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_quota_recovery,watchlist,
category:Storage Boxes,,,,B0FVLJ6845,B0G58RQJM3,"Himake Photo Storage Box 8x10, Decorative Photo Storage Containers With Lid | Acid Free Photo Storage Boxes, Linen Photo Organizers and Storage, Beige Scrapbook Picture Box, Fits 800 Photos","['Home & Kitchen', 'home-garden']",US,22.49,6.3,1.8,7.16,0.15,677.0,66.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FVLJ6845; parent B0G58RQJM3; brand Himake,https://www.amazon.com/dp/B0FVLJ6845,54.5,Watch or collect more data,3.86,0.1715,2610.85,87.3,58.3,4.6,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FVLJ6845,2026-08-31 08:10:41,2026-08-31 21:19:57,4,66.0,54.5,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_quota_recovery,watchlist,
category:Salt Mills,15850271,Salt Mills,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt Mills,B0BXFPJJC2,,"Alexander Home Original Greek Salt Mill, 8-Inch Brass– European Manual Salt Grinder Refillable",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt Mills,US,69.9,19.57,5.59,4.88,0.15,493.0,128.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0BXFPJJC2; brand Alexander Home,https://www.amazon.com/dp/B0BXFPJJC2,65.2,Watch or collect more data,29.38,0.4202,14481.88,86.1,46.8,82.7,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0BXFPJJC2,2026-09-01 21:42:46,2026-09-01 21:42:46,1,65.2,65.2,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260901_214146,watchlist,
higher_ticket_lightweight,,,,B0D9Q7D66M,B0D9XZLXBP,"VEVOR Air Mover Blower Fan 8 Inch, 1070CFM 195W with 16.4ft Flexible Duct, Industrial Portable Ventilator Blower/Exhaust, Orange","['Tools & Home Improvement', 'hi']",US,100.81,28.23,8.06,20.76,0.15,1494.0,39.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,85.0,,,,,,,Imported from Sorftime; ASIN B0D9Q7D66M; parent B0D9XZLXBP; brand VEVOR,https://www.amazon.com/dp/B0D9Q7D66M,65.0,Watch or collect more data,28.64,0.2841,42785.92,87.3,59.3,64.5,35.0,65.0,gross margin below 35%; oversize risk,,,asin:B0D9Q7D66M,2026-05-23 18:59:50,2026-05-23 18:59:50,1,65.0,65.0,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_185950,watchlist,
category:Shelf Baskets,,,,B0G2XY5J77,B0G2XZFZL3,"Foldable Fabric Storage Basket for Shelves, Linen Decorative Storage Bin with Wooden Handles, Small Organizer Cube for Closet, Rectangle Canvas Box for Organizing, Decor, 15x10.6x6 Inches (Blcak)","['Home & Kitchen', 'home-garden']",US,13.99,3.92,1.12,5.36,0.15,2130.0,83.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G2XY5J77; parent B0G2XZFZL3; brand Tihaolity,https://www.amazon.com/dp/B0G2XY5J77,53.9,Watch or collect more data,1.49,0.1066,3176.89,87.3,54.3,6.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0G2XY5J77,2026-08-31 08:10:41,2026-08-31 21:19:57,4,64.9,53.9,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_quota_recovery,watchlist,
category:Shelf Baskets,,,,B0GTWHX4GC,B0GTWFLKJL,CubesLand Small Wicker Toilet Basket Tray Organizer W/Cut Out Handle,"['Home & Kitchen', 'home-garden']",US,16.99,4.76,1.36,7.21,0.15,919.0,78.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GTWHX4GC; parent B0GTWFLKJL; brand CubesLand,https://www.amazon.com/dp/B0GTWHX4GC,52.7,Watch or collect more data,1.11,0.0654,1021.47,87.3,54.3,0.1,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GTWHX4GC,2026-08-31 08:10:41,2026-08-31 21:19:57,4,64.9,52.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_quota_recovery,watchlist,
category:Open Storage Bins,,,,B0GWCKKT5X,B0H63DMW79,"6 Pack Large Closet Storage Baskets Bins for Shelves, Collapsible Fabric Closet Organizers and Storage with Polyester Handles, Decorative Baskets for Organizing Clothes, Towels, Linen Closet 14“x10“","['Home & Kitchen', 'home-garden']",US,26.99,7.56,2.16,8.12,0.15,792.0,65.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GWCKKT5X; parent B0H63DMW79; brand DIMJ,https://www.amazon.com/dp/B0GWCKKT5X,53.8,Watch or collect more data,5.1,0.189,4040.39,87.3,54.3,8.9,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GWCKKT5X,2026-08-31 08:10:41,2026-08-31 08:13:08,3,64.1,53.8,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Shelf Baskets,,,,B0F32LSGGV,B0F32MPL3P,"Stylave Pantry Baskets for Organizing，Wicker Storage Bins,3 Pack,Natural | Water Hyacinth Large Baskets Organizers for Shelves, Labeled Baskets with Handles , Boho Decorative","['Home & Kitchen', 'home-garden']",US,45.99,12.88,3.68,10.51,0.15,898.0,85.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0F32LSGGV; parent B0F32MPL3P; brand Stylave,https://www.amazon.com/dp/B0F32LSGGV,58.8,Watch or collect more data,12.02,0.2614,10795.31,87.3,54.3,35.6,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0F32LSGGV,2026-08-31 08:10:41,2026-08-31 08:13:08,3,64.1,58.8,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Shelf Baskets,,,,B0FY235Z3J,B0GCZNTZP5,"iEGrow Scalloped Wicker Basket, Set of 2 Hand-Woven Natural Rattan Baskets with Built-in Handles, Water Hyacinth Storage Oval Cute Baby Baskets for Nursery, Organizing, Decor and Shelves","['Home & Kitchen', 'home-garden']",US,33.99,9.52,2.72,10.13,0.15,1177.0,55.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FY235Z3J; parent B0GCZNTZP5; brand iEGrow,https://www.amazon.com/dp/B0FY235Z3J,56.3,Watch or collect more data,6.52,0.1919,7675.81,87.3,54.3,22.1,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FY235Z3J,2026-08-31 08:10:41,2026-08-31 21:19:57,4,64.1,56.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_quota_recovery,watchlist,
category:Storage Boxes,,,,B0FZRLDZC2,B0FSDG1HNL,"Aokeyee Photo Storage Box Holds 3400+ 4x6 Pictures | Photo Organizer Box, 8 Dividers, 24 Paperboard, with Blank Label","['Home & Kitchen', 'home-garden']",US,24.99,7.0,2.0,7.99,0.15,621.0,96.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FZRLDZC2; parent B0FSDG1HNL; brand Aokeyee,https://www.amazon.com/dp/B0FZRLDZC2,53.0,Watch or collect more data,4.25,0.1701,2640.18,87.3,54.3,4.7,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FZRLDZC2,2026-08-31 08:10:41,2026-08-31 21:19:57,4,64.1,53.0,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_quota_recovery,watchlist,
higher_ticket_lightweight,,,,B09RD1ZWVK,B0F67CPZ42,MOJO Outdoors Turkey Hunting Decoys and Accessories,"['Sports & Outdoors', 'sporting-goods']",US,71.47,20.01,5.72,13.24,0.15,1494.0,55.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,60.0,,,,,,,Imported from Sorftime; ASIN B09RD1ZWVK; parent B0F67CPZ42; brand MOJO Outdoors,https://www.amazon.com/dp/B09RD1ZWVK,63.9,Watch or collect more data,21.78,0.3047,32538.57,87.3,58.3,60.9,30.0,70.0,gross margin below 35%; oversize risk,,,asin:B09RD1ZWVK,2026-05-23 18:59:50,2026-05-23 18:59:50,1,63.9,63.9,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_185950,watchlist,
higher_ticket_lightweight,,,,B0BXFSKDC4,B09WLX2SQY,Alexander Home The Original Greek Salt Mill 9 Inch Tall | European Salt Mill Grinder with Crank Handle | Manual Salt Grinder | Salt Refillable - Copper,"['Kitchen & Dining', 'kitchen']",US,79.8,22.34,6.38,5.41,0.15,1494.0,615.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,,,,,,,Imported from Sorftime; ASIN B0BXFSKDC4; parent B09WLX2SQY; brand Alexander Home,https://www.amazon.com/dp/B0BXFSKDC4,63.4,Watch or collect more data,33.7,0.4223,50347.8,87.3,28.3,83.0,22.0,78.0,clean early risk profile,,,asin:B0BXFSKDC4,2026-05-23 18:59:50,2026-05-23 20:21:21,2,63.4,63.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_202121,watchlist,
category:Storage Boxes,,,,B0FN8HSZHC,B0FN8HSZHC,"CNEIESD 2 Count 160 Quart Wheeled Stacker, Extra Large Durable Clear Bin, Box with Latch Lid and Pull Handle | Extra Large, Durable Clear Bin, Latch Lid, Pull Handle","['Home & Kitchen', 'home-garden']",US,52.85,14.8,4.23,9.51,0.15,641.0,45.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,65.0,20.0,53.8,C,"observed:price,sales,reviews,rating; estimated:fba_fee,search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FN8HSZHC; parent B0FN8HSZHC; brand CNEIESD,https://www.amazon.com/dp/B0FN8HSZHC,63.3,Watch or collect more data,16.38,0.31,10501.18,87.3,65.3,50.8,22.0,78.0,gross margin below 35%; evidence confidence below supplier-validation threshold; landed cost still estimated,,,asin:B0FN8HSZHC,2026-08-24 12:48:06,2026-08-24 12:48:06,1,63.3,63.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260824_083043,watchlist,
category:Vertical Plate Holders,,,,B0F32HV3WZ,B0FMN7NQDK,"Plate Hangers for The Wall, Suitable for 8-10 Inch Wall Plate Hangers for Display 12 Pack Stainless Steel Invisible with Invisible Nails Plate Hangers for Displaying Plates Decorative(Gold)","['Kitchen & Dining', 'kitchen']",US,13.59,3.81,1.09,4.45,0.15,623.0,101.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0F32HV3WZ; parent B0FMN7NQDK; brand TNsughang,https://www.amazon.com/dp/B0F32HV3WZ,63.3,Watch or collect more data,2.2,0.162,1371.53,87.3,50.8,1.1,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0F32HV3WZ,2026-08-31 08:10:41,2026-08-31 08:10:41,1,63.3,63.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Shelf Baskets,,,,B0FRM82YBD,B0FRGHMVTZ,Beautiful Storage Basket Set of 3 - Sturdy Jute Rope Baskets for Shelves,"['Home & Kitchen', 'home-garden']",US,17.99,5.04,1.44,7.73,0.15,1226.0,186.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FRM82YBD; parent B0FRGHMVTZ; brand ZICOTO,https://www.amazon.com/dp/B0FRM82YBD,63.3,Watch or collect more data,1.08,0.0601,1325.92,87.3,50.8,0.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FRM82YBD,2026-08-31 08:10:41,2026-08-31 08:10:41,1,63.3,63.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
category:Lidded Storage Bins,,,,B0FM1GP5HD,B0H82KK1XS,"Plastic Storage Bins with Lids, Clear Stackable Storage Containers - 21 Qt","['Home & Kitchen', 'home-garden']",US,27.99,7.84,2.24,11.08,0.15,1202.0,122.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FM1GP5HD; parent B0H82KK1XS; brand Tribello,https://www.amazon.com/dp/B0FM1GP5HD,52.6,Watch or collect more data,2.63,0.094,3163.06,87.3,50.8,6.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FM1GP5HD,2026-08-31 08:10:41,2026-08-31 08:13:08,3,63.3,52.6,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
higher_ticket_lightweight,,,,B0FNWQSHG5,B0FRF3MH9Z,"2500W Handheld Steam Cleaner, 3-Level Adjustable Steam Cleaner for Home with 21 Accessories, Multipurpose Portable Steamer Cleaning for Car,Floor,Furniture,Tile,Grout,Couch,Fast Heat-Up (Green)","['Home & Kitchen', 'home-garden']",US,64.99,18.2,5.2,8.36,0.15,1490.0,327.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,65.0,,,,,,,Imported from Sorftime; ASIN B0FNWQSHG5; parent B0FRF3MH9Z; brand Granarbol,https://www.amazon.com/dp/B0FNWQSHG5,63.0,Watch or collect more data,23.48,0.3613,34987.43,87.3,42.8,71.8,31.0,69.0,oversize risk,,,asin:B0FNWQSHG5,2026-05-23 18:59:50,2026-05-23 18:59:50,1,63.0,63.0,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_185950,watchlist,
higher_ticket_lightweight,,,,B0DHVB8L17,B0GKP3QPZ4,"FERUERW Hexagon Garage Lights 3 Level Dimmable, High Brightness 168W 5600 to 18480 Lumens 6500K Honeycomb Led Light 5 Grid for Garage, Auto Beauty Shop, Car Detailing Shop, Workshop","['Tools & Home Improvement', 'hi']",US,69.99,19.6,5.6,14.06,0.15,1493.0,59.0,3.9,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,65.0,,,,,,,Imported from Sorftime; ASIN B0DHVB8L17; parent B0GKP3QPZ4; brand FERUERW,https://www.amazon.com/dp/B0DHVB8L17,62.6,Watch or collect more data,20.23,0.2891,30205.63,87.3,60.3,55.7,31.0,69.0,gross margin below 35%; oversize risk,,,asin:B0DHVB8L17,2026-05-23 18:59:50,2026-05-23 18:59:50,1,62.6,62.6,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_185950,watchlist,
category:Lidded Storage Bins,,,,B0CX979FY1,B0F1B8D683,"Superio 6.25 Quart Clear Plastic Storage Bin with Lid, Non-Toxic, BPA Free, Odor Free, Organizer Storage Box, Stackable Plastic Tote for Home, Garage, School, and Office (Pack of 4)","['Home & Kitchen', 'home-garden']",US,51.96,14.55,4.16,7.79,0.15,1385.0,150.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CX979FY1; parent B0F1B8D683; brand Superio,https://www.amazon.com/dp/B0CX979FY1,61.5,Watch or collect more data,17.67,0.34,24467.41,87.3,50.8,57.3,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0CX979FY1,2026-08-24 12:48:06,2026-08-31 08:13:08,6,62.5,61.5,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Lidded Storage Bins,,,,B0FVSCWNT9,B0GQM89MK8,"StorageWorks Storage Bins with Lids, Fabric Closet Storage Bins, Large","['Home & Kitchen', 'home-garden']",US,29.99,8.4,2.4,7.93,0.15,971.0,105.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FVSCWNT9; parent B0GQM89MK8; brand StorageWorks,https://www.amazon.com/dp/B0FVSCWNT9,54.4,Watch or collect more data,6.76,0.2255,6565.42,87.3,50.8,19.4,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FVSCWNT9,2026-08-31 08:10:41,2026-08-31 08:13:08,3,62.5,54.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Open Storage Bins,,,,B0G6TD4QST,B0G6THRNCR,"JMvicyroam 65L Large Woven Cotton Rope Blanket Basket, Oatmeal | Blanket Storage for Living Room or Bedroom Use, Freestanding with Reinforced Handles, Entire Basket is Machine Washable","['Home & Kitchen', 'home-garden']",US,22.99,6.44,1.84,8.5,0.15,1404.0,125.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G6TD4QST; parent B0G6THRNCR; brand JMvicyroam,https://www.amazon.com/dp/B0G6TD4QST,52.3,Watch or collect more data,2.76,0.1201,3877.15,87.3,50.8,8.2,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0G6TD4QST,2026-08-31 08:10:41,2026-08-31 08:13:08,3,62.5,52.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Shelf Baskets,,,,B0FPC9HSG9,B0FPDYN47N,"Fabric Closet Storage Cubes - 6 Pack Square Storage Bins with Dual Handles for Clothes, Towels, Toys, Cube Storage Organizers for Bedroom, Nursery, Shelves, Closet, Small Spaces, Beige","['Home & Kitchen', 'home-garden']",US,23.99,6.72,1.92,8.11,0.15,1301.0,183.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FPC9HSG9; parent B0FPDYN47N; brand Homsorout,https://www.amazon.com/dp/B0FPC9HSG9,52.8,Watch or collect more data,3.64,0.1518,4737.59,87.3,50.8,10.7,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FPC9HSG9,2026-08-31 08:10:41,2026-08-31 08:13:08,3,62.5,52.8,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Mops & Bucket Sets,23537016011,Mops & Bucket Sets,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Mops & Bucket Sets,B0H7JDLJKQ,,"Mop and Bucket Set, Flat Mop and Bucket System for Floor Cleaning",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Mops & Bucket Sets,US,55.97,15.67,4.48,10.89,0.15,1069.0,72.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H7JDLJKQ; brand Veshiny,https://www.amazon.com/dp/B0H7JDLJKQ,61.9,Watch or collect more data,16.53,0.2954,17675.38,87.3,54.3,49.1,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0H7JDLJKQ,2026-09-01 21:50:14,2026-09-01 21:50:14,1,61.9,61.9,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260901_mcp_rules_replay,watchlist,
higher_ticket_lightweight,,,,B0DS43F2H1,B0GXVZD97D,"Huuger Computer Desk with 6 Drawers, Office Desk with Shelves, Reversible Gaming Desk, Large Corner Desk with Storage, Work for Home Office, Study, Living Room, 63inch, Rustic Brown","['Home & Kitchen', 'home-garden']",US,107.99,30.24,8.64,30.27,0.15,1499.0,28.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,85.0,,,,,,,Imported from Sorftime; ASIN B0DS43F2H1; parent B0GXVZD97D; brand Huuger,https://www.amazon.com/dp/B0DS43F2H1,61.7,Watch or collect more data,22.64,0.2097,33939.61,87.3,59.3,55.3,35.0,65.0,gross margin below 35%; oversize risk,,,asin:B0DS43F2H1,2026-05-23 18:59:50,2026-05-23 18:59:50,1,61.7,61.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_185950,watchlist,
higher_ticket_lightweight,,,,B0G3PCTQ23,B0DRJ8NH1N,"VIVOHOME 2-Pack Galvanized Steel Hand Rails for Outdoor Steps – 27.1“ Curved Ends and Safety Balusters Exterior Railing Kit for Porch, Deck, or Indoor Stairs (3-Step, Black)","['Tools & Home Improvement', 'hi']",US,149.99,42.0,12.0,23.78,0.15,1496.0,396.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,85.0,,,,,,,Imported from Sorftime; ASIN B0G3PCTQ23; parent B0DRJ8NH1N; brand VIVOHOME,https://www.amazon.com/dp/B0G3PCTQ23,61.6,Watch or collect more data,49.71,0.3314,74368.4,87.3,40.8,70.9,35.0,65.0,gross margin below 35%; oversize risk,,,asin:B0G3PCTQ23,2026-05-23 18:59:50,2026-05-23 18:59:50,1,61.6,61.6,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260523_185950,watchlist,
category:Salt Mills,15850271,Salt Mills,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt Mills,B0968DH592,,"Alexander Home Original Greek Salt Mill, 8-Inch Brass – European Manual Salt Grinder Refillable",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt Mills,US,62.99,17.64,5.04,4.88,0.15,1614.0,268.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0968DH592; brand Alexander Home,https://www.amazon.com/dp/B0968DH592,61.5,Watch or collect more data,25.98,0.4125,41934.14,87.3,36.8,81.7,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0968DH592,2026-09-01 21:42:46,2026-09-01 21:42:46,1,61.5,61.5,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260901_214146,watchlist,
category:Vertical Plate Holders,,,,B0DL5R2YBH,B0F8ZYMJKF,2Pcs Paper Plate Dispenser for 6-9.5 In Disposable Plates,"['Kitchen & Dining', 'kitchen']",US,18.99,5.32,1.52,6.37,0.15,601.0,148.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DL5R2YBH; parent B0F8ZYMJKF; brand TOWARDFUN,https://www.amazon.com/dp/B0DL5R2YBH,61.4,Watch or collect more data,2.93,0.1544,1761.83,87.3,46.8,2.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0DL5R2YBH,2026-08-31 08:10:41,2026-08-31 08:10:41,1,61.4,61.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_personal_seller_rules,watchlist,
