source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Storage Boxes,B0DWTT4QQT,B0GS38Q9C1,"IRIS USA Flip Top Storage Containers |Made in USA| Small (10-Pack) - Clear | Vertical Bins with Removable Lids for Organizing Office, Craft, Pantry, Art, Ephemera & Study Supplies","['Home & Kitchen', 'home-garden']",US,16.99,4.76,1.36,9.37,0.15,708.0,228.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DWTT4QQT; parent B0GS38Q9C1; brand IRIS USA,https://www.amazon.com/dp/B0DWTT4QQT,45.0,Reject,-1.05,-0.0617,-742.34,87.3,40.8,0.0,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Storage Boxes,B001B32LHA,B001B32LHA,"Sterilite Storage Crate, Stackable Plastic Bin Open Basket with Handles, Organize Home, Garage, Office, School, White, 1-Pack","['Home & Kitchen', 'home-garden']",US,18.72,5.24,1.5,3.5,0.15,563.0,211.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,65.0,20.0,53.8,C,"observed:price,sales,reviews,rating; estimated:fba_fee,search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B001B32LHA; parent B001B32LHA; brand Sterilite,https://www.amazon.com/dp/B001B32LHA,45.0,Reject,5.67,0.303,3193.34,87.3,36.8,14.7,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; evidence confidence below supplier-validation threshold,,,,,,,,,,,,,,
category:Storage Boxes,B0DTJKHRQM,B0DTJKHRQM,ZYN Metal Can | Metal Zyn Container | Pouch Holder | Small Storage Tin | Smell Proof Container,"['Home & Kitchen', 'home-garden']",US,14.97,4.19,1.2,3.92,0.15,521.0,245.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DTJKHRQM; parent B0DTJKHRQM; brand TYNZZ,https://www.amazon.com/dp/B0DTJKHRQM,45.0,Reject,3.41,0.2281,1778.95,87.3,36.8,2.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Bathroom Shelves,B0FGTSGJFD,B0FBWKLMS5,"2-Tier Corner Bathroom Counter Organizer, Larger Size","['Home & Kitchen', 'home-garden']",US,22.99,6.44,1.84,6.78,0.15,947.0,143.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FGTSGJFD; parent B0FBWKLMS5; brand Aollewoiti,https://www.amazon.com/dp/B0FGTSGJFD,45.0,Reject,4.48,0.1949,4243.98,87.3,46.8,9.3,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Bathroom Shelves,B0FWHWP66X,B0G8H7DG93,Floating Bathroom Shelves Wall Mounted - Wooden Shelf Set of 3 for Over Toilet Storage & Modern Bathroom Decor - Perfect Wall Shelving Organizer for Apartments RVs Powder Rooms Restroom - Black,"['Tools & Home Improvement', 'hi']",US,18.99,5.32,1.52,7.77,0.15,716.0,250.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FWHWP66X; parent B0G8H7DG93; brand Gailia,https://www.amazon.com/dp/B0FWHWP66X,45.0,Reject,1.53,0.0806,1096.55,87.3,36.8,0.3,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Bathroom Shelves,B0GCKCF3M4,B0GCJT42JD,"Outlet Shelf with Cord Storage, White Wall Holder for Bathroom, 1 Pack","['Tools & Home Improvement', 'hi']",US,13.59,3.81,1.09,4.46,0.15,395.0,63.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GCKCF3M4; parent B0GCJT42JD; brand Gaidas,https://www.amazon.com/dp/B0GCKCF3M4,45.0,Reject,2.19,0.1613,865.64,69.8,54.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Bathroom Shelves,B0H4YM29XQ,B0H6J54PH6,Gold Acrylic Bathroom Shelf Wall Mounted Floating Organizer with Front Lip,"['Tools & Home Improvement', 'hi']",US,17.99,5.04,1.44,6.37,0.15,222.0,24.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H4YM29XQ; parent B0H6J54PH6; brand Care&More YJ,https://www.amazon.com/dp/B0H4YM29XQ,45.0,Reject,2.44,0.1357,542.01,41.0,63.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Bathroom Trays,B0DLB4T35M,B0DW9DB923,"2-Tier Bathroom Counter Organizer, Wooden Vanity Shelf with Drawer & Basket","['Home & Kitchen', 'home-garden']",US,28.48,7.97,2.28,8.79,0.15,2577.0,743.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DLB4T35M; parent B0DW9DB923; brand Aollewoiti,https://www.amazon.com/dp/B0DLB4T35M,45.0,Reject,5.17,0.1815,13317.94,87.3,28.3,20.3,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Bathroom Trays,B0FFB1TJT3,B0FF9ZQ9X2,"Orimade Shower Caddy 3-Pack, No-Drill Adhesive Shelves with 4 Hooks for Bathroom, Rustproof ABS Plastic Storage Organizer Set, Black","['Home & Kitchen', 'home-garden']",US,20.89,5.85,1.67,6.14,0.15,1306.0,252.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FFB1TJT3; parent B0FF9ZQ9X2; brand Orimade,https://www.amazon.com/dp/B0FFB1TJT3,45.0,Reject,4.1,0.1961,5350.03,87.3,36.8,12.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Bathroom Trays,B0D9N76JCB,B0D9N66V98,"Sumnacon Small Wicker Basket with Lid,Tampon Holder for Bathroom,Coffee,XS","['Home & Kitchen', 'home-garden']",US,15.99,4.48,1.28,5.77,0.15,1199.0,272.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D9N76JCB; parent B0D9N66V98; brand Sumnacon,https://www.amazon.com/dp/B0D9N76JCB,45.0,Reject,2.06,0.1289,2471.74,87.3,40.8,4.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Magazine & Newspaper Baskets,B0GRVJ93S7,B0GSG5J3DK,"Wicker Hanging Storage Basket (10,5“Lx6,5“Wx13“H), Set of 2 Wall Baskets, Water Hyacinth Baskets, Wall Decor Hyacinth Basket Hanging for Organizing Files, Mails, Books (Espresso Color)","['Home & Kitchen', 'home-garden']",US,32.99,9.24,2.64,10.31,0.15,326.0,103.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GRVJ93S7; parent B0GSG5J3DK; brand SIEUSALEVN,https://www.amazon.com/dp/B0GRVJ93S7,44.7,Reject,5.85,0.1774,1907.59,58.3,46.8,4.3,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Lidded Storage Bins,B0CPXYBPJS,B0HF4WKWSD,"Citylife 4 Packs Plastic Storage Bins with Latching Lids Clear Storage Box with handle Stackable Storage Containers for Organizing Toys, Crafts, Tools","['Home & Kitchen', 'home-garden']",US,23.49,6.58,1.88,9.08,0.15,4969.0,493.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CPXYBPJS; parent B0HF4WKWSD; brand Citylife,https://www.amazon.com/dp/B0CPXYBPJS,44.6,Reject,2.43,0.1033,12057.28,87.3,24.3,20.0,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Lidded Storage Bins,B0DHZNXSTR,B0DRVFDH55,"EOENVIVS Plastic Storage Bins with Lids 6 Packs, 7 Quart Storage Organizer Bins with Buckle-Up Latches and Handle, Stackable Storage Containers for Home Pantry Office Classroom Organization, Clear","['Home & Kitchen', 'home-garden']",US,25.99,7.28,2.08,9.37,0.15,2710.0,647.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DHZNXSTR; parent B0DRVFDH55; brand EOENVIVS,https://www.amazon.com/dp/B0DHZNXSTR,44.6,Reject,3.36,0.1293,9109.66,87.3,24.3,20.0,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Shelf Baskets,B0DY1CH7X6,B0DHQLC38J,"KALLAX Small Woven Storage Basket for Organizing, 12 x 8 x 4.5 inch, 3 Pack | Shelf baskets for closet organization, toy storage and home decor, Perfect as empty gift baskets for holidays, Brown","['Home & Kitchen', 'home-garden']",US,25.99,7.28,2.08,8.11,0.15,1628.0,425.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DY1CH7X6; parent B0DHQLC38J; brand KALLAX,https://www.amazon.com/dp/B0DY1CH7X6,44.4,Reject,4.62,0.1778,7523.8,87.3,24.3,18.6,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Storage Boxes,B0GYNMJ2ZZ,B0FN7SFRBS,"Geiserailie 20 Pack Metal Tin Boxes with Hinged Lids, Rectangular,Black","['Home & Kitchen', 'home-garden']",US,34.99,9.8,2.8,8.16,0.15,502.0,443.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GYNMJ2ZZ; parent B0FN7SFRBS; brand Geiserailie,https://www.amazon.com/dp/B0GYNMJ2ZZ,44.4,Reject,8.98,0.2567,4508.71,87.3,24.3,18.9,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Open Storage Bins,B0DZMCB9RJ,B0CZ3XD1DW,"Storage Baskets, 15.7 Inch Woven Fabric Bins, Storage Cubes with Reinforced Handles, Organizer Bins for Closet Shelves, Foldable, for Toys, Clothes (4PCS/Grey-15.7*11*7.8inch)","['Home & Kitchen', 'home-garden']",US,27.99,7.84,2.24,8.05,0.15,1163.0,418.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DZMCB9RJ; parent B0CZ3XD1DW; brand EITMOW,https://www.amazon.com/dp/B0DZMCB9RJ,44.1,Reject,5.66,0.2023,6584.32,87.3,24.3,17.3,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Bathroom Trays,B0C5DDRZ5W,B0CVZJRD3Q,"YIWANFW Bathroom Counter Organizer, 2-Tier Black Perfume Organizer Dresser","['Home & Kitchen', 'home-garden']",US,29.99,8.4,2.4,6.54,0.15,1937.0,1673.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0C5DDRZ5W; parent B0CVZJRD3Q; brand YIWANFW,https://www.amazon.com/dp/B0C5DDRZ5W,44.1,Reject,8.15,0.2718,15789.46,87.3,18.3,29.2,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Open Storage Bins,B0C2HXSG6V,B09VY8JGG4,Fabric Cubby Storage Bins，13x13x13 Inches ，Cube Organizer Bins Foldable Storage Bins with Dual Handles Fabric Organizer Bins and Basket Storage Box，Set of 3 ，Navy Blue,"['Home & Kitchen', 'home-garden']",US,24.29,6.8,1.94,8.04,0.15,890.0,652.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0C2HXSG6V; parent B09VY8JGG4; brand Yunkeeper,https://www.amazon.com/dp/B0C2HXSG6V,43.7,Reject,3.87,0.1592,3441.19,87.3,28.3,7.0,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Bathroom Shelves,B08R9PM34D,B0GZ3VHHHY,Outlet Shelf Wall Holder with Cord Storage for Standard Duplex Outlet,"['Tools & Home Improvement', 'hi']",US,14.99,4.2,1.2,4.46,0.15,759.0,428.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B08R9PM34D; parent B0GZ3VHHHY; brand BELIEFLUO,https://www.amazon.com/dp/B08R9PM34D,43.6,Reject,2.88,0.1922,2187.06,87.3,28.3,3.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0CR1D7SXZ,B0H8Y4Z7JK,"UBBCARE 2 Pack Wicker Basket, 13.4L×8.3H×7.1W inch Woven Paper Rope Storage Baskets for Shelves, Foldable Rectangular Storage Baskets with Handle, Storage Basket for Organizing, Black","['Home & Kitchen', 'home-garden']",US,19.99,5.6,1.6,8.02,0.15,1593.0,493.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CR1D7SXZ; parent B0H8Y4Z7JK; brand UBBCARE,https://www.amazon.com/dp/B0CR1D7SXZ,43.3,Reject,1.77,0.0886,2822.0,87.3,28.3,5.2,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0CRDM2G34,B0CVBJZH2M,"Simple Houseware Stackable Plastic Woven Basket Organizer, 6 Pack, Black | 14.5“ D x 8.5“ W x 3.5“ H","['Home & Kitchen', 'home-garden']",US,26.87,7.52,2.15,8.97,0.15,1088.0,565.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CRDM2G34; parent B0CVBJZH2M; brand Simple Houseware,https://www.amazon.com/dp/B0CRDM2G34,42.8,Reject,4.2,0.1563,4569.06,87.3,24.3,10.2,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Bathroom Trays,B0C1V36S4N,B0DRFSJTYV,"HNRLOY Bathroom Counter Organizer, Bathroom Counter Shelf, Makeup Organizer","['Home & Kitchen', 'home-garden']",US,27.53,7.71,2.2,7.21,0.15,2230.0,1094.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0C1V36S4N; parent B0DRFSJTYV; brand HNRLOY,https://www.amazon.com/dp/B0C1V36S4N,42.8,Reject,6.28,0.2281,14005.51,87.3,18.3,22.6,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Vertical Plate Holders,B074VGYMXW,B0C1HZNWR9,"Plate Hangers for the Wall, Heavy Duty Platter Bowl Holder, Large 14-22 in","['Kitchen & Dining', 'kitchen']",US,20.8,5.82,1.66,4.18,0.15,826.0,1472.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B074VGYMXW; parent B0C1HZNWR9; brand Display Buddie,https://www.amazon.com/dp/B074VGYMXW,42.7,Reject,6.02,0.2894,4972.52,87.3,18.3,18.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Open Storage Bins,B0BNZZVXGJ,B0C49L8584,"StorageWorks Fabric Narrow Storage Bins, Khaki and Beige Stripes, 2-Pack | With Metal Frame, Sturdy Structure, Reinforced Handles, Toilet Paper Storage, Small Baskets for Bathroom, Closet, Shelf","['Home & Kitchen', 'home-garden']",US,25.99,7.28,2.08,5.77,0.15,1904.0,1480.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0BNZZVXGJ; parent B0C49L8584; brand StorageWorks,https://www.amazon.com/dp/B0BNZZVXGJ,42.7,Reject,6.96,0.2679,13254.7,87.3,14.3,26.3,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Lidded Storage Bins,B0DFLQPY2R,B0DQG4Y6X6,"NUMIFUN 7Qt Clear Plastic Storage Bins with Lids,Transparent Design,6 Pack | Stackable organizing totes with buckle latches & handles.Dust-proof clear design for home,office & pantry space saving","['Home & Kitchen', 'home-garden']",US,25.37,7.1,2.03,9.46,0.15,3669.0,860.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DFLQPY2R; parent B0DQG4Y6X6; brand NUMIFUN,https://www.amazon.com/dp/B0DFLQPY2R,42.4,Reject,2.97,0.1172,10913.44,87.3,18.3,20.0,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Shelf Baskets,B08N1B58ZQ,B0H8T13JZM,"GRANNY SAYS Wicker Storage Baskets for Shelves, Brown Wicker Baskets,2-Pack","['Home & Kitchen', 'home-garden']",US,39.99,11.2,3.2,10.9,0.15,1866.0,836.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B08N1B58ZQ; parent B0H8T13JZM; brand GRANNY SAYS,https://www.amazon.com/dp/B08N1B58ZQ,42.2,Reject,8.69,0.2173,16218.34,87.3,14.3,27.4,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Vertical Plate Holders,B0FR8MHP4Z,B0H25ZD712,"Jimcairy 12-Pack Invisible Wall Plate Hangers, 6/8/10 Inch Brass Plate Holders with 16-Pack Wall Hooks","['Kitchen & Dining', 'kitchen']",US,12.99,3.64,1.04,4.45,0.15,244.0,102.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FR8MHP4Z; parent B0H25ZD712; brand Jimcairy,https://www.amazon.com/dp/B0FR8MHP4Z,41.9,Reject,1.91,0.1472,466.41,44.6,46.8,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0D1G33YS8,B0D1FGWQ5Z,"FEIALNDUO Wicker Shelf Baskets with Lid,Seagrass Storage Basket Bins Rectangular Handwoven Basket Boxes for Shelves Desktop Home Organizer (Coffee, X-Small)","['Home & Kitchen', 'home-garden']",US,13.98,3.91,1.12,5.37,0.15,1103.0,662.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D1G33YS8; parent B0D1FGWQ5Z; brand FEILANDUO,https://www.amazon.com/dp/B0D1G33YS8,41.8,Reject,1.48,0.1061,1635.75,87.3,24.3,1.8,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Vertical Plate Holders,B0CD76Q8M6,B0GGRVG6NS,"Bilillo 12 pcs Plate Hangers for The Wall, 6/8/10 Inch Invisible","['Kitchen & Dining', 'kitchen']",US,13.99,3.92,1.12,4.18,0.15,555.0,530.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CD76Q8M6; parent B0GGRVG6NS; brand Bilillo,https://www.amazon.com/dp/B0CD76Q8M6,41.7,Reject,2.67,0.191,1482.68,87.3,24.3,1.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Lidded Storage Bins,B08H8X25XZ,B0H8NDWZHB,Tribello Clear Plastic Storage Bins with Lids Stackable Storage Bins (15 Quart),"['Home & Kitchen', 'home-garden']",US,18.99,5.32,1.52,10.51,0.15,1309.0,731.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B08H8X25XZ; parent B0H8NDWZHB; brand Tribello,https://www.amazon.com/dp/B08H8X25XZ,41.5,Reject,-1.21,-0.0636,-1581.93,87.3,24.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Shelf Baskets,B08GKMFWM7,B0C4LCCFFZ,Hipiwe Set of 2 Flat Wicker Storage Basket Bins with Lid Woven Seagrass Box | Natural Decorative Baskets Multipurpose Home Boxes for Shelf Organizer Home Decor (Coffee),"['Home & Kitchen', 'home-garden']",US,23.9,6.69,1.91,7.79,0.15,2713.0,2173.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B08GKMFWM7; parent B0C4LCCFFZ; brand Hipiwe,https://www.amazon.com/dp/B08GKMFWM7,41.5,Reject,3.92,0.1642,10648.52,87.3,14.3,20.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Shelf Baskets,B0B34ZBZVV,B0B34ZRL5H,"ECDYQXVU 15x10 x9 Inch Woven Cotton Rope Storage Basket, Black, 1 Pack","['Home & Kitchen', 'home-garden']",US,16.99,4.76,1.36,8.21,0.15,962.0,751.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0B34ZBZVV; parent B0B34ZRL5H; brand ECDYQXVU,https://www.amazon.com/dp/B0B34ZBZVV,41.5,Reject,0.11,0.0066,107.26,87.3,24.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Open Storage Bins,B0CKHLR6Q3,B0DTGFVJRR,EBIGIC Small Storage Bins[6 Pack] 9.0'x7.5'x7.5' Small Size Fabirc Foldable Closet Toy Organizer Collapsible Cloth Black,"['Home & Kitchen', 'home-garden']",US,27.99,7.84,2.24,7.78,0.15,1797.0,1289.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CKHLR6Q3; parent B0DTGFVJRR; brand EBIGIC,https://www.amazon.com/dp/B0CKHLR6Q3,41.2,Reject,5.93,0.2119,10658.91,87.3,14.3,21.9,27.0,73.0,supplier quote required; estimated profit is not a rejection gate; review count above 600,,,,,,,,,,,,,,
category:Shelf Baskets,B0CYPSD6V9,B0CYPZ1PW7,"ShellKingdom Storage Bins, Foldable Fabric Storage Cube And Cloth Organizer","['Home & Kitchen', 'home-garden']",US,16.99,4.76,1.36,7.18,0.15,1069.0,435.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CYPSD6V9; parent B0CYPZ1PW7; brand ShellKingdom,https://www.amazon.com/dp/B0CYPSD6V9,41.0,Reject,1.14,0.0672,1220.26,87.3,24.3,0.6,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
